run_key,dataset,exog,loss,fold,config_hash,status,run_dir,superseded_run_dir,started,finished,duration_s,error
drycut__none__mse__f1,drycut,none,mse,1,e09734ffddeaf939,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06-to-HL01_sl60_pl15_st1-1_20260914-093003",,2026-09-14T09:30:01+08:00,2026-09-14T09:30:25+08:00,23.7,
drycut__none__mse__f2,drycut,none,mse,2,962f564910a5de99,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06-to-HL01_sl60_pl15_st1-1_20260914-093026",,2026-09-14T09:30:25+08:00,2026-09-14T09:30:59+08:00,33.5,
drycut__none__mse__f3,drycut,none,mse,3,0f8591dca43a7a1b,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06-to-HL01_sl60_pl15_st1-1_20260914-093100",,2026-09-14T09:30:59+08:00,2026-09-14T09:31:36+08:00,37.3,
drycut__none__huber__f1,drycut,none,huber,1,6701effe4cb17830,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06-to-HL01_sl60_pl15_st1-1_20260914-093137",,2026-09-14T09:31:36+08:00,2026-09-14T09:32:07+08:00,30.8,
drycut__none__huber__f2,drycut,none,huber,2,edfadfca18bdc426,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06-to-HL01_sl60_pl15_st1-1_20260914-093208",,2026-09-14T09:32:07+08:00,2026-09-14T09:32:43+08:00,35.8,
drycut__none__huber__f3,drycut,none,huber,3,2405a2d7b9e23602,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06-to-HL01_sl60_pl15_st1-1_20260914-093244",,2026-09-14T09:32:43+08:00,2026-09-14T09:33:22+08:00,39.1,
drycut__full__mse__f1,drycut,full,mse,1,5ce5dd30bebbb8dc,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06+exog(Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3)-to-HL01_sl60_pl15_st1-1_20260914-093323",,2026-09-14T09:33:22+08:00,2026-09-14T09:34:42+08:00,80.6,
drycut__full__mse__f2,drycut,full,mse,2,c54a10c52d442560,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06+exog(Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3)-to-HL01_sl60_pl15_st1-1_20260914-093443",,2026-09-14T09:34:42+08:00,2026-09-14T09:36:27+08:00,105.0,
drycut__full__mse__f3,drycut,full,mse,3,b760a6836fa77e34,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06+exog(Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3)-to-HL01_sl60_pl15_st1-1_20260914-093628",,2026-09-14T09:36:27+08:00,2026-09-14T09:38:59+08:00,151.9,
drycut__full__huber__f1,drycut,full,huber,1,bcac50913edc2205,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06+exog(Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3)-to-HL01_sl60_pl15_st1-1_20260914-093900",,2026-09-14T09:38:59+08:00,2026-09-14T09:40:20+08:00,80.6,
drycut__full__huber__f2,drycut,full,huber,2,96740dc424c0b5d5,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06+exog(Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3)-to-HL01_sl60_pl15_st1-1_20260914-094021",,2026-09-14T09:40:20+08:00,2026-09-14T09:42:33+08:00,133.5,
drycut__full__huber__f3,drycut,full,huber,3,946525d9327ae8dd,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06+exog(Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3)-to-HL01_sl60_pl15_st1-1_20260914-094234",,2026-09-14T09:42:33+08:00,2026-09-14T09:45:06+08:00,152.7,
old__none__mse__f1,old,none,mse,1,55407356d4287c7d,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06-to-HL01_sl60_pl15_st1-1_20260914-094507",,2026-09-14T09:45:06+08:00,2026-09-14T09:45:30+08:00,24.4,
old__none__mse__f2,old,none,mse,2,fa21f1aa2096f87e,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06-to-HL01_sl60_pl15_st1-1_20260914-094531",,2026-09-14T09:45:30+08:00,2026-09-14T09:46:01+08:00,30.4,
old__none__mse__f3,old,none,mse,3,3a39902c9607f9c8,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06-to-HL01_sl60_pl15_st1-1_20260914-094602",,2026-09-14T09:46:01+08:00,2026-09-14T09:46:37+08:00,35.8,
old__none__huber__f1,old,none,huber,1,8e03098f899a9aa8,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06-to-HL01_sl60_pl15_st1-1_20260914-094638",,2026-09-14T09:46:37+08:00,2026-09-14T09:47:01+08:00,24.0,
old__none__huber__f2,old,none,huber,2,31f0015bf82145a6,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06-to-HL01_sl60_pl15_st1-1_20260914-094702",,2026-09-14T09:47:01+08:00,2026-09-14T09:47:31+08:00,30.7,
old__none__huber__f3,old,none,huber,3,c2e36c0a859d9eca,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06-to-HL01_sl60_pl15_st1-1_20260914-094732",,2026-09-14T09:47:31+08:00,2026-09-14T09:48:07+08:00,35.8,
old__full__mse__f1,old,full,mse,1,9439c4ac1c6ceb81,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06+exog(Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3)-to-HL01_sl60_pl15_st1-1_20260914-094808",,2026-09-14T09:48:07+08:00,2026-09-14T09:49:22+08:00,74.9,
old__full__mse__f2,old,full,mse,2,e3b7bbbbbdfc224d,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06+exog(Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3)-to-HL01_sl60_pl15_st1-1_20260914-094923",,2026-09-14T09:49:22+08:00,2026-09-14T09:51:06+08:00,104.0,
old__full__mse__f3,old,full,mse,3,1a018183a15b280a,done,"experiments/matrix_runs/DLinearMix2/DLinearMix2_HL02,HL03,HL04,HL05,HL06+exog(Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3)-to-HL01_sl60_pl15_st1-1_20260914-095107",,2026-09-14T09:51:06+08:00,2026-09-14T09:53:23+08:00,137.0,
