run_key,dataset,exog,loss,fold,checkpoint,anchoring,mse,rmse,mae,corr,corr_h1,corr_hN,corr_valid_horizons,corr_total_horizons,corr_invalid_reasons,seg_mse_median,seg_mse_p90,n_segments,n_windows,exog_in,exog_cols_actual,input_cols_actual,seq_len,config_hash,plan_id,eval_version,eval_code_hash,persist_mse,improve_mse_pct
drycut__none__mse__f1,drycut,none,mse,1,best_corr,raw,106550.7890625,326.4211730957031,286.29571533203125,0.515386212348308,0.5299428751950183,0.5272871114984011,15,15,,178034.359375,335631.58749999997,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,e09734ffddeaf939,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,-3899.4251660661403
drycut__none__mse__f1,drycut,none,mse,1,best_corr,anchored,4627.73486328125,68.02745819091797,47.14097213745117,0.9738860485607167,0.999407286147437,0.963328619059616,15,15,,4525.05908203125,5917.3759765625,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,e09734ffddeaf939,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,-73.70382178241957
drycut__none__mse__f1,drycut,none,mse,1,best_corr,persistence,2664.152587890625,51.61542892456055,22.6044864654541,0.9814154301880902,0.9994072861501734,0.9528790576148803,15,15,,27.88094139099121,4127.38583984375,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,e09734ffddeaf939,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,0.0
drycut__none__mse__f1,drycut,none,mse,1,best_mse,raw,42870.296875,207.0514373779297,163.39022827148438,0.7488639016423568,0.7441565945762112,0.7341715470403806,15,15,,32898.0703125,86537.34218749999,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,e09734ffddeaf939,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,-1509.153209536811
drycut__none__mse__f1,drycut,none,mse,1,best_mse,anchored,5747.27294921875,75.8107681274414,54.19462966918945,0.968995197192389,0.9994072861501734,0.9525076964264213,15,15,,6936.71826171875,14891.7119140625,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,e09734ffddeaf939,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,-115.72611776599564
drycut__none__mse__f1,drycut,none,mse,1,best_mse,persistence,2664.152587890625,51.61542892456055,22.6044864654541,0.9814154301880902,0.9994072861501734,0.9528790576148803,15,15,,27.88094139099121,4127.38583984375,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,e09734ffddeaf939,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,0.0
drycut__none__mse__f2,drycut,none,mse,2,best_corr,raw,50109.078125,223.85057067871094,167.04148864746094,0.7842274645707873,0.7802654935160659,0.7745309770070463,15,15,,54209.953125,137889.659375,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,962f564910a5de99,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,-1780.86366947452
drycut__none__mse__f2,drycut,none,mse,2,best_corr,anchored,3416.37060546875,58.44972610473633,37.235626220703125,0.9826519580999867,0.9994072860812558,0.9610050096226836,15,15,,4792.16845703125,9895.638476562499,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,962f564910a5de99,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,-28.23479484610537
drycut__none__mse__f2,drycut,none,mse,2,best_corr,persistence,2664.152587890625,51.61542892456055,22.6044864654541,0.9814154281540636,0.9994072860812558,0.952879052485856,15,15,,27.880929946899414,4127.38583984375,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,962f564910a5de99,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,0.0
drycut__none__mse__f2,drycut,none,mse,2,best_mse,raw,61205.88671875,247.3982391357422,185.8059539794922,0.7720086416191226,0.7723448629007323,0.7592324654758722,15,15,,75283.1328125,189444.20312499997,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,962f564910a5de99,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,-2197.386681113881
drycut__none__mse__f2,drycut,none,mse,2,best_mse,anchored,2729.12060546875,52.24098587036133,32.96767044067383,0.9852856208350907,0.9994072860812558,0.9664885171299796,15,15,,3544.656982421875,7025.352929687499,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,962f564910a5de99,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,-2.438599721105472
drycut__none__mse__f2,drycut,none,mse,2,best_mse,persistence,2664.152587890625,51.61542892456055,22.6044864654541,0.9814154281540636,0.9994072860812558,0.952879052485856,15,15,,27.880929946899414,4127.38583984375,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,962f564910a5de99,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,0.0
drycut__none__mse__f3,drycut,none,mse,3,best_corr,raw,32516.81640625,180.32420349121094,124.47728729248047,0.8132378419673822,0.826524314387671,0.7920845549033545,15,15,,8986.9658203125,53209.39296875,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,0f8591dca43a7a1b,d896860175be,v1-corr-skip-constant,2569904e,2664.15283203125,-1120.5311953315365
drycut__none__mse__f3,drycut,none,mse,3,best_corr,anchored,2413.496337890625,49.127349853515625,29.57533073425293,0.9860600204165836,0.9994072861062238,0.969506458529668,15,15,,1967.585693359375,3661.0197265624993,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,0f8591dca43a7a1b,d896860175be,v1-corr-skip-constant,2569904e,2664.15283203125,9.40848779870917
drycut__none__mse__f3,drycut,none,mse,3,best_corr,persistence,2664.15283203125,51.61543273925781,22.6044864654541,0.9814154294379127,0.9994072861062238,0.9528790557356601,15,15,,27.88093376159668,4127.38583984375,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,0f8591dca43a7a1b,d896860175be,v1-corr-skip-constant,2569904e,2664.15283203125,0.0
drycut__none__mse__f3,drycut,none,mse,3,best_mse,raw,49290.88671875,222.0155029296875,165.8546905517578,0.7915151104788704,0.8035369900923875,0.7761017523336802,15,15,,56966.05078125,143956.065625,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,0f8591dca43a7a1b,d896860175be,v1-corr-skip-constant,2569904e,2664.15283203125,-1750.1523683672751
drycut__none__mse__f3,drycut,none,mse,3,best_mse,anchored,3112.54150390625,55.790157318115234,32.91447067260742,0.9836326444731268,0.9994072861062238,0.9642275730175291,15,15,,1585.1724853515625,4488.369433593749,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,0f8591dca43a7a1b,d896860175be,v1-corr-skip-constant,2569904e,2664.15283203125,-16.830441049927742
drycut__none__mse__f3,drycut,none,mse,3,best_mse,persistence,2664.15283203125,51.61543273925781,22.6044864654541,0.9814154294379127,0.9994072861062238,0.9528790557356601,15,15,,27.88093376159668,4127.38583984375,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,0f8591dca43a7a1b,d896860175be,v1-corr-skip-constant,2569904e,2664.15283203125,0.0
drycut__none__huber__f1,drycut,none,huber,1,best_corr,raw,85432.984375,292.2892150878906,221.2904510498047,0.7287438152168503,0.7239438816443161,0.715319997570968,15,15,,99916.8828125,247748.68124999997,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,6701effe4cb17830,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,-3106.760181954991
drycut__none__huber__f1,drycut,none,huber,1,best_corr,anchored,5873.99267578125,76.64197540283203,56.878231048583984,0.9762823260019661,0.9994072861476986,0.9663818218546086,15,15,,8509.4619140625,13694.866796875,15,6240,0,,"HL02,HL03,HL04,HL05,HL06",60,6701effe4cb17830,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,-120.48259181851347
