dataset,exog,loss,checkpoint,anchoring,corr_mean,corr_std,mse_mean,mse_std,improve_mean,improve_std,seg_mse_median_mean,n_folds_present,n_folds_corr_valid,n_folds_mse_valid,n_folds_all_horizons,n_folds_expected,eval_version,eval_code_hash
drycut,full,huber,best_corr,anchored,0.9787,0.0118,4922.0632,3841.049,-84.7515,144.1752,8588.201,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,full,huber,best_corr,persistence,0.9814,0.0,2664.1527,0.0001,0.0,0.0,27.8809,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,full,huber,best_corr,raw,0.7121,0.0241,48905.6523,9289.027,-1735.6926,348.6673,33429.3435,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,full,huber,best_mse,anchored,0.9785,0.0117,4989.8272,3804.3925,-87.2951,142.7993,8816.5415,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,full,huber,best_mse,persistence,0.9814,0.0,2664.1527,0.0001,0.0,0.0,27.8809,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,full,huber,best_mse,raw,0.7111,0.0259,50067.8177,11293.17,-1779.3149,423.8936,33412.8018,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,full,mse,best_corr,anchored,0.9794,0.0089,4302.5334,2563.0582,-61.4973,96.2054,6457.595,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,full,mse,best_corr,persistence,0.9814,0.0,2664.1527,0.0001,0.0,0.0,27.8809,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,full,mse,best_corr,raw,0.7363,0.0096,45706.9844,434.7705,-1615.6293,16.3193,24682.9665,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,full,mse,best_mse,anchored,0.9794,0.0089,4302.5334,2563.0582,-61.4973,96.2054,6457.595,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,full,mse,best_mse,persistence,0.9814,0.0,2664.1527,0.0001,0.0,0.0,27.8809,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,full,mse,best_mse,raw,0.7363,0.0096,45706.9844,434.7705,-1615.6293,16.3193,24682.9665,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,none,huber,best_corr,anchored,0.982,0.0054,3757.3302,1923.5697,-41.0328,72.2019,4896.052,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,none,huber,best_corr,persistence,0.9814,0.0,2664.1527,0.0001,0.0,0.0,27.8809,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,none,huber,best_corr,raw,0.7714,0.0394,57345.5143,26383.4601,-2052.4861,990.3135,56294.5221,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,none,huber,best_mse,anchored,0.9786,0.0097,4791.17,3347.8032,-79.8384,125.6611,6368.1691,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,none,huber,best_mse,persistence,0.9814,0.0,2664.1527,0.0001,0.0,0.0,27.8809,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,none,huber,best_mse,raw,0.7713,0.0238,48887.1667,4219.0897,-1734.9987,158.3652,47303.4225,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,none,mse,best_corr,anchored,0.9809,0.0063,3485.8673,1108.754,-30.8434,41.6175,3761.6044,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,none,mse,best_corr,persistence,0.9814,0.0,2664.1527,0.0001,0.0,0.0,27.8809,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,none,mse,best_corr,raw,0.7043,0.1642,63058.8945,38678.5546,-2266.94,1451.8146,80410.4261,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,none,mse,best_mse,anchored,0.9793,0.009,3862.9784,1643.0695,-44.9984,61.6733,4022.1826,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,none,mse,best_mse,persistence,0.9814,0.0,2664.1527,0.0001,0.0,0.0,27.8809,3,3,3,3,3,v1-corr-skip-constant,2569904e
drycut,none,mse,best_mse,raw,0.7708,0.0214,51122.3568,9303.9871,-1818.8974,349.2288,55049.0846,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,full,huber,best_corr,anchored,0.9789,0.0151,5632.2471,6227.1084,-88.4173,208.3174,4164.2229,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,full,huber,best_corr,persistence,0.9804,0.0,2989.2404,0.0001,0.0,0.0,93.8009,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,full,huber,best_corr,raw,0.766,0.0228,45480.6966,3986.5203,-1421.4801,133.3624,14272.5144,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,full,huber,best_mse,anchored,0.9784,0.0147,6054.9197,5922.1729,-102.5571,198.1163,4821.4996,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,full,huber,best_mse,persistence,0.9804,0.0,2989.2404,0.0001,0.0,0.0,93.8009,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,full,huber,best_mse,raw,0.7515,0.0261,45106.1458,3999.379,-1408.9501,133.7926,9004.5155,3,3,3,3,3,v1-corr-skip-constant,2569904e
