time,model,input_col,output_col,seq_len,label_len,pred_len,stride,kernel_size,epochs,batch_size,lr,lradj,MSE,MAE,corr,,,,,,,,,,,,,
2026/3/10 22:21,DLinear,HL02,HL01,30,30,15,3,7,4,64,0.007,4,52007.47656,173.3320923,0.153097;0.151824;0.153796;0.152212;0.153701;0.152413;0.151901;0.151383;0.150805;0.152443;0.152627;0.151977;0.149031;0.146440;0.147077,,,,,,,,,,,,,
2026/3/10 22:21,DLinear,HL02,HL01,30,30,15,3,13,5,64,0.007,4,52292.63281,168.7263947,0.156889;0.156781;0.157090;0.156138;0.157006;0.157587;0.157138;0.157810;0.157209;0.157259;0.156492;0.156979;0.156687;0.156654;0.156028,,,,,,,,,,,,,
2026/3/10 22:23,DLinear,HL02,HL01,30,30,15,3,25,5,64,0.007,4,51350.15625,170.7884521,0.155920;0.156069;0.156139;0.155985;0.155852;0.155610;0.155589;0.155872;0.156024;0.155904;0.155616;0.155773;0.155237;0.154714;0.154840,,,,,,,,,,,,,
2026/3/10 22:27,DLinear,HL02,HL01,40,40,15,3,7,8,64,0.007,4,51298.35156,173.367569,0.157906;0.156963;0.157388;0.157508;0.157373;0.157086;0.158145;0.156428;0.155177;0.156821;0.156641;0.155734;0.155962;0.155921;0.155171,,,,,,,,,,,,,
2026/3/10 22:27,DLinear,HL02,HL01,40,40,15,3,13,8,64,0.007,4,51149.03125,170.7537842,0.157947;0.158610;0.158139;0.158476;0.158375;0.158301;0.157833;0.158233;0.158512;0.158250;0.157734;0.157513;0.157648;0.157066;0.156731,,,,,,,,,,,,,
2026/3/10 22:27,DLinear,HL02,HL01,40,40,15,3,25,8,64,0.007,4,50819.83203,171.7364502,0.158816;0.158685;0.158270;0.158674;0.158237;0.158547;0.158636;0.158899;0.158748;0.158627;0.158475;0.158169;0.157866;0.156974;0.156435,,,,,,,,,,,,,
2026/3/10 22:29,DLinear,HL03,HL01,30,30,15,3,7,8,64,0.007,4,24862.43164,114.3718262,0.296339;0.295096;0.296084;0.295471;0.295476;0.295030;0.294024;0.294022;0.293146;0.292713;0.292205;0.292445;0.291456;0.290754;0.290629,,,,,,,,,,,,,
2026/3/10 22:29,DLinear,HL03,HL01,30,30,15,3,13,7,64,0.007,4,24842.48633,118.558815,0.297102;0.298099;0.297829;0.296434;0.296443;0.295999;0.295067;0.295044;0.295086;0.294482;0.293847;0.293211;0.292025;0.291224;0.291569,,,,,,,,,,,,,
2026/3/10 22:29,DLinear,HL03,HL01,30,30,15,3,25,7,64,0.007,4,25613.98438,120.772995,0.297964;0.298581;0.296960;0.296726;0.297827;0.297919;0.297387;0.295658;0.296526;0.295722;0.293648;0.294554;0.291666;0.292012;0.291636,,,,,,,,,,,,,
2026/3/10 22:29,DLinear,HL03,HL01,40,40,15,3,7,13,64,0.007,4,27253.90234,117.6903305,0.293607;0.294112;0.293472;0.292537;0.292826;0.291679;0.291228;0.291005;0.289227;0.289434;0.289149;0.288053;0.286662;0.285409;0.285636,,,,,,,,,,,,,
2026/3/10 22:30,DLinear,HL03,HL01,40,40,15,3,13,10,64,0.007,4,25504.29688,121.4489059,0.293587;0.293477;0.292331;0.291905;0.291378;0.291359;0.290968;0.286828;0.285085;0.283270;0.279663;0.278389;0.276905;0.272882;0.271596,,,,,,,,,,,,,
2026/3/10 22:30,DLinear,HL03,HL01,40,40,15,3,25,7,64,0.007,4,25492.16211,120.7886047,0.296332;0.295964;0.295618;0.295422;0.293738;0.293886;0.292838;0.291783;0.290421;0.290328;0.288263;0.287291;0.289337;0.286629;0.283843,,,,,,,,,,,,,
2026/3/10 22:31,DLinear,HL04,HL01,30,30,15,3,7,7,64,0.007,4,95070.82813,196.1068115,0.286932;0.287220;0.286822;0.287326;0.287183;0.287920;0.287164;0.287038;0.286610;0.286784;0.286376;0.286024;0.284446;0.285310;0.284258,,,,,,,,,,,,,
2026/3/10 22:31,DLinear,HL04,HL01,30,30,15,3,13,7,64,0.007,4,88930.71094,190.8810883,0.287076;0.287011;0.287707;0.286903;0.287219;0.287398;0.287438;0.287359;0.286727;0.286634;0.286534;0.285902;0.285442;0.284616;0.284529,,,,,,,,,,,,,
2026/3/10 22:31,DLinear,HL04,HL01,30,30,15,3,25,6,64,0.007,4,95728.9375,196.7960663,0.287923;0.287899;0.288405;0.288626;0.288397;0.288760;0.288754;0.288694;0.288498;0.288578;0.287972;0.287557;0.286577;0.286432;0.286510,,,,,,,,,,,,,
2026/3/10 22:31,DLinear,HL04,HL01,40,40,15,3,7,13,64,0.007,4,84119.25781,185.3674164,0.288795;0.288663;0.288321;0.288555;0.287623;0.287440;0.287699;0.286827;0.286517;0.286256;0.285046;0.283718;0.282557;0.281463;0.280643,,,,,,,,,,,,,
2026/3/10 22:31,DLinear,HL04,HL01,40,40,15,3,13,10,64,0.007,4,89339.61719,191.1463318,0.291254;0.292082;0.291779;0.291473;0.291629;0.291465;0.291229;0.289871;0.289645;0.288722;0.287651;0.285743;0.286460;0.283638;0.283048,,,,,,,,,,,,,
2026/3/10 22:32,DLinear,HL04,HL01,40,40,15,3,25,7,64,0.007,4,87119.84375,189.1393738,0.291803;0.292533;0.292036;0.292379;0.291316;0.291282;0.291022;0.290577;0.290187;0.289519;0.288903;0.288312;0.287389;0.285965;0.285893,,,,,,,,,,,,,
2026/3/10 22:32,DLinear,HL05,HL01,30,30,15,3,7,10,64,0.007,4,58673.33594,200.3253937,0.196953;0.197189;0.197393;0.197491;0.197682;0.198155;0.198237;0.198364;0.198410;0.198601;0.198223;0.197834;0.197704;0.198136;0.197437,,,,,,,,,,,,,
2026/3/10 22:33,DLinear,HL05,HL01,30,30,15,3,13,9,64,0.007,4,58551.42188,194.9070282,0.197363;0.197850;0.198236;0.198633;0.198920;0.199246;0.199511;0.199734;0.199869;0.199919;0.199891;0.199659;0.199760;0.199531;0.199199,,,,,,,,,,,,,
2026/3/10 22:33,DLinear,HL05,HL01,30,30,15,3,25,11,64,0.007,4,59590.63672,196.366394,0.197238;0.197698;0.198068;0.198426;0.198792;0.199116;0.199375;0.199575;0.199706;0.199793;0.199702;0.199661;0.199718;0.199527;0.199381,,,,,,,,,,,,,
